descripcion,codigo,NOVA
Mielcitas,D106,2
Minitorta bañada,D038,4
Oblea bañada tipo Kit Kat,D032,4
Oblea bañada tipo Nugaton,D039,3
Pastillas,D045,3
Pastillas sin azúcar,D046,2
"Postre a base de pasta de maní, tipo Mantecol",D049,4
Rhodesia,D030,4
Tableta de dulce de leche light,D079,4
Tableta de dulce de leche,D078,4
Tita,D031,3
Baño de repostería para cubrir tortas,D052,4
Barra de chocolate tipo Kinder,D053,4
Bocadito con dulce de leche tipo Cabsha,D054,4
Bocadito tipo Dos Corazones,D113,3
Bocadito tipo Marroc,D115,3
Bombón tipo Bon O Bon,D055,4
Bombón de chocolate relleno de licor,D129,4
Cacao amargo*,D050,2
Cacao en polvo sin fortificar*,D018,4
Cacao en polvo tipo Nesquik*,D051,4
Cacao en polvo tipo Zucoa / Zucoa Max instantáneo otros sabores*,D108,4
"Cacao, cascarilla*",D117,3
Chips de chocolate,D123,4
cacao o más,D057,3
Chocolate amargo,D126,4
Chocolate blanco,D058,4
Chocolate con almendras,D059,4
Chocolate con maní,D056,4
Chocolate relleno con pasta de maní tipo Snickers,D119,4
Chocolate light,D060,4
Chocolate para taza,D016,4
Chocolate relleno de dulce de leche tipo Tofi,D095,4
Chocolatín / chocolate con leche,D017,4
Huevo de chocolate tipo Kinder,D061,4
Lentejas de chocolate,D063,4
Maní con chocolate,D062,4
Medallón de menta y chocolate,D131,4
Pasas de uva con chocolate,D133,4
Bombón helado,D066,3
Helado de agua (heladería),D064,3
Helado de agua (palito),D019,3
Helado de crema (heladería),D020,3
Helado de crema envasado,D065,4
"Helado envasado con cucurucho, PROMEDIO",D067,4
Polvo para preparar helado*,D068,4
Torta helada envasada (crema helada varios sabores con base de galleta),D111,4
Almíbar,D100,3
Arrope,D026,2
Crema de avellanas con cacao tipo Nutella,D114,4
Dulce de batata,D005,3
Dulce de batata light,D081,4
Dulce de cayote,D073,3
Dulce de leche,D008,4
Dulce de leche light,D077,4
Dulce de mamón,D120,3
Dulce de membrillo,D006,3
Dulce de membrillo light,D082,4
Dulce de zapallo (compacto),D128,3
Fondant,D130,4
Grana para decorar tortas,D098,3
Jalea tipo membrillo,D007,4
Kero o melaza,D027,2
Mermelada de frutas,D010,4
Mermelada de frutas light,D025,4
Miel,D011,2
Miel de caña,D134,2
"Pulpa de frutas para repostería, coberturas y rellenos (frutilla, arándano o maracuyá)",D099,3
Rapadura,D105,2
"Relleno y cobertura para repostería lista para batir, varios sabores",D109,4
"Saborizadores Tecknofood, sabores varios (malta, vainilla)",D124,4
Salsa topping de chocolate,D097,4
Salsa topping de dulce de leche,D096,4
Chicharrón,G017,2
Crema de leche,G013,2
"Crema chantilly (lista para consumir, aerosol o industrial preparada)",G018,4
Crema light,G016,4
Grasa de cerdo,G008,2
Grasa de pollo,G019,2
Grasa vacuna,G009,2
Manteca,G010,2
Manteca light,G015,4
Margarina (en pote y en pan),G011,4
Margarina untable light,G012,4
Palitos aireados de harina de maíz o de colores,O013,4
Palitos salados,O014,4
Papas fritas de copetín,O015,4
Maní japonés,O043,4
Nachos,O028,4
Snacks saborizados salados a base de maíz,O041,4
"Snacks saborizados salados a base de sémola de arroz, horneados, tipo Palitos de",O044,4
Aceto balsámico,O022,3
Aderezo Salsa Alioli,O048,4
Aderezo Caesar o Ranch,O021,4
Aderezo para ensaladas light,O045,4
Aderezo Salsa Cheddar,O037,4
"Jugo de limón, envasado",B069,4
Ketchup,O005,4
Mayonesa,O001,4
Mayonesa light,O002,4
Mayonesa de soja,O003,4
Mostaza,O006,3
"Salsa a base de tomate en tetra brick o sachet, lista para consumir (ej: pomarola,",O035,2
Salsa agridulce,O047,2
Salsa barbacoa,O020,2
Salsa blanca en polvo envasada*,O049,4
Salsa chimichurri envasada,O051,4
"Salsa deshidratada varios sabores, polvo*",O046,4
Salsa de soja,O034,2
Salsa Golf,O004,2
"Salsa para guiso campero envasada, fortificada*",O040,4
Vinagre,O023,2
Caldos en cubo*,O007,3
Caldos en polvo*,O039,4
Caldos en polvo light*,O008,4
Caldos en polvo sin sal light*,O009,4
Sopa crema instantánea preparada,O010,4
Sopa crema preparada a partir de polvo premezcla light,O011,4
Sopa crema preparada a partir de polvo premezcla sin sal light,O012,4
Saborizador en cubos,O024,4
Saborizador en polvo,O038,4
Sopa de fideos deshidratada envasada para preparar*,O025,4
"Sopa crema instantánea, polvo para preparar (sabores varios)*",O029,4
"Sopa crema instantánea, polvo para preparar light (sabores varios)*",O030,4
"Sopa de vegetales instantánea, polvo para preparar*",O036,4
Arroz con leche envasado listo para consumir,D103,4
"Arroz con leche envasado sabor caramelo, fortificado",D121,4
Gelatina envasada lista para consumir,D069,4
"Gelatina light, preparada a partir de polvo",D022,4
Gelatina preparada a partir de polvo,D021,4
Polvo para preparar flan*,D009,4
Polvo para preparar postre lácteo*,D075,4
Polvo para preparar postre lácteo light*,D076,4
Polvo para preparar mousse de limón / chocolate*,D112,4
Bicarbonato de sodio,O042,2
Sal,O026,2
Sal Marina,O050,2
"Sal dietética o modificada, PROMEDIO",O033,4
"Sal dietética, sin sodio",O027,4
Cloruro de sodio,O031,2
Cloruro de sodio,O032,2
Achilate / achilata,B055,4
"Agua saborizada Aquarius, varios sabores",B044,4
"Agua saborizada Awafrut, varios sabores",B046,4
"Agua saborizada con azúcar, PROMEDIO",B030,4
"Agua saborizada Levité, varios sabores",B045,4
"Agua saborizada tipo Sierra de los Padres, Manaos, otros",B047,4
Amargo serrano*,B001,4
"Bebida a base de soja y jugo, varios sabores",B003,4
"Bebida a base de soja y jugo, varios sabores light",B004,4
Bebida a base de soja sabor natural,B020,4
"Gaseosa con azúcar, PROMEDIO",B008,4
"Gaseosa con azúcar, sabor cola",B021,4
"Gaseosa con azúcar, sabor lima limón",B022,4
"Gaseosa con azúcar, sabor naranja",B023,4
"Gaseosa con azúcar, sabor pomelo",B024,4
"Gaseosa con azúcar, agua tónica",B025,4
"Gatorade, varios sabores",B037,4
Jugo congelado con azúcar en sachet,B054,2
Jugo de fruta envasado varios sabores,B010,4
"Jugo en polvo con azúcar, PROMEDIO*",B011,4
Jugo en polvo con azúcar*,B053,4
Jugo concentrado con azúcar para diluir*,B014,4
"Powerade, varios sabores",B038,4
"Agua saborizada H2O, varios sabores",B049,4
Agua saborizada Flip light,B051,4
"Agua saborizada Levité Cero, varios sabores light",B048,4
"Agua saborizada light, PROMEDIO",B031,4
Agua saborizada We o Ser ligth,B050,4
Amargo serrano light*,B002,4
"Gaseosa light, PROMEDIO",B009,4
"Gaseosa light, Guaraná",B112,4
"Gaseosa light, sabor cola",B026,4
"Gaseosa light, sabor lima limón",B027,4
"Gaseosa light, sabor naranja",B028,4
"Gaseosa light, sabor pomelo",B029,4
"Gatorade Zero, varios sabores (sin azúcar)",B039,4
Granadina Zero (sin azúcar),B131,4
Jugo en polvo BC*,B052,4
Jugo en polvo light*,B012,4
de jugo y pulpa),B121,4
Jugo concentrado para diluir light*,B118,4
"Powerade Zero, varios sabores (sin azúcar)",B040,4
Ananá Fizz,B129,4
"Aperitivo, tipo Gancia",B119,4
"Bebidas destiladas, PROMEDIO",B005,4
Bebida energizante,B041,4
"Bebida mezcla de fernet con gaseosa sabor cola, lista para consumir",B113,4
Cerveza con alcohol,B006,4
Cerveza sin alcohol,B007,4
Champagne,B042,4
"Chicha, bebida tradicional obtenida por fermentación del maíz",B128,4
Dr. Lemon,B115,4
Fernet,B043,4
"Licor, PROMEDIO",B013,4
Sidra,B015,4
Vermouth,B016,4
Vino blanco,B017,4
"Vino espumante, tipo Frizze",B120,4
Vino Mistela,B122,4
Vino rosado,B123,4
Vino tinto,B072,4
Vodka,B125,4
Agua con gas / soda,B111,1
Agua de mar,B126,1
"Agua de lluvia, río, canal, arroyo o acequia",B109,1
"Agua de lluvia, río, canal, arroyo o acequia, hervida y/o con lavandina",B110,1
Agua de perforación con bomba,B105,1
"Agua de perforación con bomba, hervida y/o con lavandina",B106,1
Agua de pozo,B107,1
"Agua de pozo, hervida y/o con lavandina",B108,1
"Agua de red pública o agua corriente, dentro del hogar",B101,1
"Agua de red pública o agua corriente, filtrada (filtro o dispenser de agua)",B102,1
Agua embotellada (bidón / botella),B103,1
"Agua embotellada (bidón / botella), bajo contenido de sodio",B104,1
Agua origen desconocido,B100,1
Hielo para bebidas,B114,4
Jugo de arándanos y chía,B078,4
"Jugo de arándanos, natural",B124,4
"Jugo de fruta, exprimido sin azúcar agregada, envasado",B032,4
"Jugo de fruta, pasteurizado no reconstituido",B033,4
"Jugo de limón, exprimido",B034,4
"Jugo de naranja, exprimido",B035,4
"Jugo de papaya, natural",B116,4
"Jugo de pomelo, exprimido",B036,4
Café con leche en cápsula*,B117,4
Café en saquitos (ingresar cantidad de saquitos)*,B073,1
Café instantáneo (polvo o granulado con leche y azúcar para preparar)*,B060,4
Café instantáneo descafeinado (polvo o granulado para preparar)*,B056,4
Café instantáneo (polvo o granulado para preparar)*,B057,4
Café molido en cápsula*,B059,4
Café preparado a partir de grano molido (tipo café de filtro),B058,1
Capucchino instantáneo (polvo o granulado para preparar)*,B063,4
Capucchino instantáneo (polvo o granulado para preparar light)*,B062,4
Capucchino preparado,B061,4
"Infusión de hierbas en hebras tipo Boldo, Manzanilla, otros (ingresar cantidad en",B127,1
"Infusión de hierbas en saquitos tipo Boldo, Manzanilla, otros (ingresar cantidad de",B068,1
Mate cocido en saquitos (ingresar cantidad de saquitos)*,B065,1
Malta instantánea polvo*,B130,4
Té blanco en hebras (ingresar cantidad en gramos)*,B076,1
Té blanco en saquitos (ingresar cantidad de saquitos)*,B075,1
Té negro en hebras (ingresar cantidad en gramos)*,B071,1
Té negro en saquitos (ingresar cantidad de saquitos)*,B066,1
"Té saborizado en saquitos, varios sabores (ingresar cantidad de saquitos)*",B077,4
Té concentrado de hierbas Herbalife,B132,4
Té verde en saquitos (ingresar cantidad de saquitos)*,B067,1
Yerba mate para mate cebado (ingresar cantidad en gramos)*,B064,1
Yerba mate para mate cocido (ingresar cantidad en gramos)*,B070,1
Yerba mate para tereré (ingresar cantidad en gramos)*,B074,4
"McDonald's, BigMc (ingresar cantidad de porciones)",R053,4
"McDonald's, Cajita Feliz, Hamburguesa con queso Grill (ingresar cantidad de",R046,4
"McDonald's, Cajita Feliz, Hamburguesa Grill (ingresar cantidad de porciones)",R045,4
"s, Cajita Feliz, Mc Tostado (ingresar cantidad de porciones)",R043,4
"s, Cajita Feliz, Mc Nuggets X4 (ingresar cantidad de porciones)",R040,4
"s, Cajita Feliz, Papas Kids (ingresar cantidad de porciones)",R041,4
"s, Cajita Feliz, Papas pequeñas (ingresar cantidad de porciones)",R042,4
"s, Cajita Feliz, Tomate cherry 50g (ingresar cantidad de porciones)",R044,4
"s, Club House (ingresar cantidad de porciones)",R054,4
"s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo crispy (ingresar",R058,4
"s, Clubhouse/Guacamole/Cryspi Onion BBQ con pollo grill (ingresar",R059,4
"s, Cono (ingresar cantidad de porciones)",R064,4
"s, Cuarto de Libra (ingresar cantidad de porciones)",R052,4
"s, Doble Cuarto de Libra con queso (ingresar cantidad de porciones)",R049,3
"s, Hamburguesa (ingresar cantidad de porciones)",R047,4
"s, Hamburguesa con queso (ingresar cantidad de porciones)",R048,3
"s, Mcnífica (ingresar cantidad de porciones)",R050,4
"s, McNuggets x 10 (ingresar cantidad de porciones)",R056,4
"s, McPollo Grill (ingresar cantidad de porciones)",R057,4
"s, Papas grandes (ingresar cantidad de porciones)",R063,4
"s, Papas medianas (ingresar cantidad de porciones)",R062,4
"s, Papas pequeñas (ingresar cantidad de porciones)",R061,4
"s, Pollo Jr. (ingresar cantidad de porciones)",R060,4
"s, Sundae chocolate (ingresar cantidad de porciones)",R065,4
"s, Sundae dulce de leche (ingresar cantidad de porciones)",R066,4
"s, Mc Flurry Oreo (ingresar cantidad de porciones)",R068,4
"s, Sundae frutilla (ingresar cantidad de porciones)",R067,4
"s, Triple Mac (ingresar cantidad de porciones)",R051,4
